업소명,소재지도로명,소재지지번,영업장면적(㎡),행정동명,영업장객실면적(㎡),영업장기타면적(㎡),업소내화장실면적(㎡)
카페울림(cafe ul-lim),"서울특별시 양천구 월정로 43, 1층 (신월동)",신월동,,신월4동,,30.38,
지향디저트,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
펫스츄,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
지향디저트,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
펫스츄,"서울특별시 강동구 양재대로98길 52, 102호 (둔촌동)",둔촌동,,둔촌제2동,,25.0,
공차 롯데미아점,"서울특별시 강북구 도봉로 62, 롯데백화점 미아점 지하2층 (미아동)",미아동,,송중동,,,
PUELLA CAFE/푸엘라 카페,"서울특별시 서초구 강남대로93길 6, 1층 (잠원동)",잠원동,,잠원동,,76.0,
BAB(비앤비),"서울특별시 송파구 올림픽로30길 9, 엘루이시티 108호 (방이동)",방이동,22.81,방이1동,0.0,0.0,0.0
BAB(비앤비),"서울특별시 송파구 올림픽로30길 9, 엘루이시티 108호 (방이동)",방이동,,방이1동,32.71,,
파머스빈,"서울특별시 강남구 논현로87길 41, 지상1층 104-1호 (역삼동)",역삼동,,역삼1동,,33.93,
카페숲,"서울특별시 동대문구 이문로 136, 1층 1F-6호 (이문동, 이문동 웰츠타워)",이문동,,이문제2동,,15.0,
에스로우(S'LOW)성수,"서울특별시 성동구 성수이로 96, 1층 (성수동2가)",성수동2가,,성수2가제1동,,,
에스로우(S'LOW)성수,"서울특별시 성동구 성수이로 96, 1층 (성수동2가)",성수동2가,,성수2가제1동,,,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
서울시청 카페테리아 마루,"서울특별시 중구 서소문로 124, 20층 (서소문동)",서소문동,,소공동,,397.14,
윌라라커피 서초점,"서울특별시 서초구 효령로72길 57, 지하1층 D-B101호 (서초동, 서초트라팰리스)",서초동,,서초제2동,,43.57,
윌라라커피 서초점,"서울특별시 서초구 효령로72길 57, 지하1층 D-B101호 (서초동, 서초트라팰리스)",서초동,,서초제2동,,43.57,
달리는커피 강남논현점,"서울특별시 강남구 학동로20길 67, 지상1층 (논현동)",논현동,,논현1동,,35.0,
(주)한스케익 잠실새내점,"서울특별시 송파구 올림픽로 124, 환산빌딩 1층 (잠실동)",잠실동,,잠실본동,46.0,,
카페루앤비 마곡수명점,"서울특별시 강서구 수명로 31, 하버드아카데미 1층 103호 (내발산동)",내발산동,,발산제1동,,,
