,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,위도,경도,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,파워타입,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
67,삼성래미안1차아파트,CU310030,14,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007133310,20221007130003,20220929145116,20221007130003,,7,단독,41,41460,H0,H001,N,,N,,N,
68,삼성래미안1차아파트,CU310030,15,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007134310,20220929144133,20220929144224,20220929144133,,7,단독,41,41460,H0,H001,N,,N,,N,
69,삼성래미안1차아파트,CU310030,16,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007134310,20220929144205,20220929144228,20220929144205,,7,단독,41,41460,H0,H001,N,,N,,N,
70,삼성래미안1차아파트,CU310030,17,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007135310,20221007132058,20220929143013,20221007132058,,7,단독,41,41460,H0,H001,N,,N,,N,
71,삼성래미안1차아파트,CU310030,18,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007134810,20220929142951,20220929143009,20220929142951,,7,단독,41,41460,H0,H001,N,,N,,N,
72,삼성래미안1차아파트,CU310030,19,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007140310,20220929142108,20220929142140,20220929142108,,7,단독,41,41460,H0,H001,N,,N,,N,
73,삼성래미안1차아파트,CU310030,20,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007135810,20221007132629,20220929142216,20221007132629,,7,단독,41,41460,H0,H001,N,,N,,N,
74,삼성래미안1차아파트,CU310030,21,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007141810,20220929141223,20220929141246,20220929141223,,7,단독,41,41460,H0,H001,N,,N,,N,
75,삼성래미안1차아파트,CU310030,22,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007141310,20220929141341,20220929141404,20220929141341,,7,단독,41,41460,H0,H001,N,,N,,N,
76,삼성래미안1차아파트,CU310030,23,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007142310,20220929135947,20220929140137,20220929135947,,7,단독,41,41460,H0,H001,N,,N,,N,
77,삼성래미안1차아파트,CU310030,24,02,경기도 용인시 기흥구 용구대로2394번길 27,null,24시간 이용가능,37.2990401,127.112783,CU,씨어스,씨어스,1522-2640,9,20221007142310,20221007134834,20220929140142,20221007134834,,7,단독,41,41460,H0,H001,N,,N,,N,
